[2024-03-04 10:10:15,298] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:15,298] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:15,298] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:18,481] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:21,761] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:25,472] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:10:30,027] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
